DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
120;-9.410175;0.785164118;-7.3885320080905075
121;-7.0006127;0.785164118;-5.496629924123374
122;-10.772276;0.785164118;-8.458004525256062
123;-12.5504875;0.785164118;-9.85419246278431
124;-9.660552;0.785164118;-7.58511880997764
125;-7.615613;0.785164118;-5.979506051378996
126;-6.2103744;0.785164118;-4.876163103141633
127;-5.1896257;0.785164118;-4.074707916937452
128;-4.487465;0.785164118;-3.523396424021591
129;-4.285569;0.785164118;-3.364875153963003
130;-3.9056573;0.785164118;-3.0665819624220494
131;-5.62782;0.785164118;-4.4187623383038
132;-5.4036474;0.785164118;-4.242750062698297
133;-4.535805;0.785164118;-3.5613515091992443
134;-4.162822;0.785164118;-3.268498283208971
135;-3.916341;0.785164118;-3.0749704791561006
136;-3.4156137;0.785164118;-2.6818172799325932
137;-3.1132586;0.785164118;-2.444418942959417
138;-2.8739293;0.785164118;-2.2565061343192325
139;-2.7002573;0.785164118;-2.1201451423722744
140;-2.4254353;0.785164118;-1.9043647717350802
141;-2.247591;0.785164118;-1.764727819804058
142;-2.1483078;0.785164118;-1.6867741992095489
143;-2.202102;0.785164118;-1.7290114320806573
144;-3.145154;0.785164118;-2.469462065857023
145;-3.7599313;0.785164118;-2.9521631632506393
146;-5.074914;0.785164118;-3.9846403579150143
147;-3.882695;0.785164118;-3.048552763449181
148;-3.1875207;0.785164118;-2.5027269123260636
149;-2.721688;0.785164118;-2.1369717832344213
150;-2.396418;0.785164118;-1.881581499633338
151;-2.1927466;0.785164118;-1.7216659810055321
152;-2.0244167;0.785164118;-1.5894993410244564
153;-1.8957806;0.785164118;-1.488498873947773
154;-1.7825462;0.785164118;-1.3995912855562636
155;-1.7038091;0.785164118;-1.3377698023072797
156;-1.8513308;0.785164118;-1.4535984810569744
157;-2.1010048;0.785164118;-1.6496336112827905
158;-3.9721916;0.785164118;-3.1188222923050692
159;-15.016217;0.785164118;-11.790194958463774
160;-10.124781;0.785164118;-7.949614472853694
161;-6.730769;0.785164118;-5.284758428939165
162;-4.950512;0.785164118;-3.886964335030159
163;-3.6789055;0.785164118;-2.8885445819532545
164;-3.036599;0.785164118;-2.38422851338707
165;-2.5537102;0.785164118;-2.0050816342760003
166;-2.2417645;0.785164118;-1.7601530820845974
167;-2.022119;0.785164118;-1.5876953166606607
168;-1.9016719;0.785164118;-1.4931245294452715
169;-1.850885;0.785164118;-1.4532485149318197
170;-1.7968422;0.785164118;-1.4108160348456609
171;-1.6454865;0.785164118;-1.2919769360683246
172;-1.7129021;0.785164118;-1.3449092422988358
173;-3.8552165;0.785164118;-3.0269776653895617
174;-14.430471;0.785164118;-11.330288365034702
175;-8.177033;0.785164118;-6.420313236507833
176;-5.092262;0.785164118;-3.9982612379356124
177;-3.6329775;0.785164118;-2.8524835632395305
178;-2.7186215;0.785164118;-2.1345640462449906
179;-2.4889684;0.785164118;-1.9542486568021344
180;-7.116078;0.785164118;-5.587289027920077
181;-12.70655;0.785164118;-9.97672684442367
182;-16.96249;0.785164118;-13.318338564150123
183;-16.391327;0.785164118;-12.869881731661925
184;-10.918507;0.785164118;-8.572819621986687
185;-7.639492;0.785164118;-5.998255025559791
186;-6.4377494;0.785164118;-5.05468981843319
187;-18.661999;0.785164118;-14.6527317877024
188;-21.051794;0.785164118;-16.529113309253603
189;-14.7307005;0.785164118;-11.566017459997713
190;-26.618952;0.785164118;-20.9002458101571
191;-14.007811;0.785164118;-10.998430249090168
192;-9.120256;0.785164118;-7.160898091044689
193;-7.475295;0.785164118;-5.869333457940073
194;-5.5147214;0.785164118;-4.329961359010058
195;-4.3865848;0.785164118;-3.4441889531428957
196;-4.776316;0.785164118;-3.7501920697069155
197;-12.023139;0.785164118;-9.440137328478478
198;-8.439418;0.785164118;-6.626328064031389
199;-6.3651404;0.785164118;-4.997679878011086
200;-5.4161634;0.785164118;-4.252577193859636
201;-7.6906037;0.785164118;-6.0383860969577166
