DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
240;-230.62342834472656;8.19639778137207;-1890.2813564171374
241;-216.75352478027344;7.337333679199219;-1590.3929374554427
242;-198.84461975097656;6.653899669647217;-1323.0921496721494
243;-200.8298797607422;6.4296770095825195;-1291.2712607348658
244;-195.41700744628906;6.203549385070801;-1212.2790563758026
245;-192.02249145507812;6.014087677001953;-1154.8400995671982
246;-167.01812744140625;5.447038173675537;-909.7541158691456
247;-221.93605041503906;6.1614766120910645;-1367.4537840121266
248;-230.4242706298828;6.1915388107299805;-1426.6808145390678
249;-203.9478759765625;5.821450233459473;-1187.2724102173233
250;-163.96783447265625;5.087410926818848;-834.1717527430155
251;-156.08316040039062;4.891322135925293;-763.4530175116088
252;-155.97451782226562;4.9055867195129395;-765.1465232113405
253;-145.94354248046875;4.685476303100586;-683.81500988279
254;-116.0525131225586;3.7514939308166504;-435.37029863529824
255;-116.21476745605469;3.9518532752990723;-459.26370940932975
256;-124.73075103759766;4.5387444496154785;-566.1210039682665
257;-130.85670471191406;5.010140895843506;-655.6105277724782
258;-131.71633911132812;5.301190376281738;-698.2533892960346
259;-130.68006896972656;5.610482215881348;-733.1782029247988
260;-139.33334350585938;6.521172523498535;-908.6167712775932
261;-136.98284912109375;7.816110134124756;-1070.6730352166633
262;-133.85389709472656;8.355134010314941;-1118.3672480293462
263;-131.10858154296875;7.247814655303955;-950.2506987432425
264;-131.5231170654297;5.669193267822266;-745.6299698303337
265;-135.2415313720703;4.841406345367432;-654.7592081419498
266;-149.628173828125;5.0679612159729;-758.3097817777889
267;-217.2316436767578;6.343197345733643;-1377.9431855797666
268;-275.2130432128906;8.245145797729492;-2269.1716667271103
269;-278.10772705078125;12.15343952178955;-3379.965441254026
270;-340.71917724609375;17.631956100463867;-6007.545575789292
271;-340.9148254394531;22.13633155822754;-7546.603609042999
272;-365.9158630371094;26.409164428710938;-9663.532194020692
273;-420.082763671875;31.176799774169922;-13096.83621157799
274;-517.363037109375;36.20186233520508;-18729.50544675719
275;-578.6720581054688;40.5241813659668;-23450.211434083292
276;-603.440185546875;43.57695770263672;-26296.087441647425
277;-607.4588623046875;45.43202209472656;-27598.084453864023
278;-599.2875366210938;45.66476058959961;-27366.321884133155
279;-778.049560546875;45.92433547973633;-35731.40903841611
280;-853.4636840820312;45.99055862426758;-39251.27159645804
281;-941.0137329101562;46.05134201049805;-43334.94525082107
282;-935.9181518554688;46.038387298583984;-43088.16235489701
283;-889.0703735351562;45.987342834472656;-40885.984071733896
284;-904.3695678710938;45.55838394165039;-41201.61599821574
285;-1017.9956665039062;44.41267395019531;-45211.90961914975
286;-927.3678588867188;42.69225311279297;-39591.42336026067
287;-862.7369995117188;40.71464920043945;-35126.03428735933
288;-779.5420532226562;38.68690490722656;-30158.06928420905
289;-663.90771484375;36.763427734375;-24407.523296952248
290;-599.9110717773438;35.14231872558594;-21082.266091407277
291;-563.9310302734375;33.71763229370117;-19014.41911776783
292;-549.0169677734375;32.33017349243164;-17749.813818403985
293;-533.4985961914062;30.895904541015625;-16482.92170069553
294;-550.05224609375;29.612972259521484;-16288.681904861704
295;-564.3381958007812;29.028093338012695;-16381.661821910762
296;-611.0503540039062;29.10525131225586;-17784.7741177266
297;-613.7060546875;29.235824584960938;-17942.202561572194
298;-602.4222412109375;29.48487091064453;-17762.342015805654
299;-678.3202514648438;30.01584243774414;-20360.353790299734
300;-797.822509765625;30.70030403137207;-24493.393612877
301;-892.2994995117188;31.388158798217773;-28007.63838624407
302;-894.385986328125;32.071044921875;-28683.893145024776
303;-835.0935668945312;32.59925079345703;-27223.42462319741
304;-778.102294921875;32.554866790771484;-25331.016560775228
305;-788.0750122070312;32.57491683959961;-25671.47798601049
306;-764.6076049804688;32.56182098388672;-24897.015956292395
307;-817.480712890625;32.625160217285156;-26670.439232597128
308;-825.3200073242188;32.28791046142578;-26647.858498507645
309;-810.5654296875;28.280336380004883;-22923.063009565696
310;-758.4816284179688;27.862567901611328;-21133.245873920387
311;-705.9508666992188;28.283597946166992;-19966.83048346883
312;-679.6174926757812;28.567195892333984;-19414.7660451259
313;-669.1279296875;28.782611846923828;-19259.24947613105
314;-659.2002563476562;28.93697738647461;-19075.262911090394
315;-657.9002075195312;29.051542282104492;-19113.015696158982
316;-627.441162109375;29.075990676879883;-18243.473379782867
317;-601.2891845703125;29.062519073486328;-17474.97839525575
318;-568.4796142578125;28.99524688720703;-16483.20676574949
319;-533.4053955078125;28.873493194580078;-15401.27705714712
320;-555.8804931640625;28.78624153137207;-16001.710138798924
321;-715.692626953125;28.845258712768555;-20644.338983283844
322;-831.8145141601562;28.702350616455078;-23875.031833281042
323;-802.066162109375;28.312259674072266;-22708.305457427166
324;-737.6770629882812;27.779144287109375;-20492.037570042536
325;-716.7835083007812;27.225379943847656;-19514.70335097285
326;-677.6080932617188;26.66166877746582;-18066.162543474114
327;-664.6112060546875;26.12312126159668;-17361.71912758262
328;-647.6327514648438;25.49358558654785;-16510.480978120468
329;-597.9205932617188;25.392990112304688;-15182.991712638177
330;-578.2448120117188;25.706459045410156;-14864.626578200143
331;-533.3848266601562;25.869596481323242;-13798.450234958786
332;-501.46783447265625;25.962448120117188;-13019.332636403851
333;-482.2515563964844;26.01487159729004;-12545.712317247817
334;-457.42755126953125;26.003732681274414;-11894.823764262837
335;-469.58953857421875;26.06574058532715;-12240.199094059062
336;-465.3399963378906;26.066843032836914;-12129.9446414407
337;-465.3305358886719;26.071046829223633;-12131.654192221293
338;-470.0649108886719;26.085256576538086;-12261.763808158517
339;-433.9886779785156;25.97783851623535;-11274.087794400344
340;-394.13238525390625;25.835660934448242;-10182.67066870525
341;-393.02679443359375;25.830841064453125;-10152.21266108565
342;-417.8247375488281;25.922462463378906;-10831.04607538064
343;-477.6094055175781;26.10526466369629;-12468.119936907024
344;-509.278564453125;26.184593200683594;-13335.252036033198
345;-531.2561645507812;26.233661651611328;-13936.794471157948
346;-519.4613037109375;26.20612907409668;-13613.069974047365
347;-508.0390930175781;26.176607131958008;-13298.739745597413
348;-500.1407470703125;26.151582717895508;-13079.472117599333
349;-497.8860168457031;26.135101318359375;-13012.301495256834
350;-524.9142456054688;26.179563522338867;-13742.025836608955
351;-513.042236328125;26.12293243408203;-13402.167675429955
352;-498.23846435546875;26.041343688964844;-12974.799089342821
353;-509.8414611816406;25.999380111694336;-13255.561945963127
354;-504.9532775878906;25.886096954345703;-13071.269501054776
355;-544.5712890625;25.8295841217041;-14066.049921104684
356;-534.0411987304688;25.60945701599121;-13676.50512365636
357;-538.9755859375;25.356184005737305;-13666.36413163133
358;-537.2051391601562;25.013151168823242;-13437.193354481715
359;-502.60400390625;24.514415740966797;-12321.043504832312
360;-490.7719421386719;23.983749389648438;-11770.55126772495
361;-503.22332763671875;23.441556930541992;-11796.338283572928
362;-557.5446166992188;22.93309783935547;-12786.225244569127
363;-610.3877563476562;22.372798919677734;-13656.08253579936
364;-584.2191162109375;21.67266845703125;-12661.58721189946
365;-602.8492431640625;21.07387924194336;-12704.372151536401
366;-587.117919921875;20.43301773071289;-11996.590867782943
